id,university_name,program_name,country_id,location,campus,level_of_study,degree_15yr_accepted,portal_or_direct,duration_in_months,duration_in_years,pace_of_study,teaching_form,language_of_study,private_or_public,currency,application_fee,admission_fee,initial_deposit,scholarship,Scholarship_Criteria,concentration,tuition_fee_per_semester,tuition_fee_per_year,tuition_fee_per_course,credits,per_credit_rate,gre_score,gmat_score,sat_score,act_score,ielts,ielts_nblt,toefl,toefl_nblt,duolingo,duolingo_nblt,pte,pte_nblt,backlogs,moi_accepted,wes_required,aps_required,inter_english_first_year,inter_english_second_year,intakes,deadlines,gap_accepted,without_maths,stateboard_accepted,entry_requirement_out_of4,entry_requirement_out_of5,entry_requirement_out_of10,entry_requirement_out_of100,english_requirement_icse,english_requirement_cbse,english_requirement_ib,english_requirement_others,age_gap_upto,noticeable_academic_gap,data,created_at,updated_at
,Towson University,Elementary Education M.Ed.,2,Maryland,Towson,Master,Elementary Education M.Ed.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Education,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Environmental Science M.S.,2,Maryland,Towson,Master,Environmental Science M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Science,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Forensic Science M.S.,2,Maryland,Towson,Master,Forensic Science M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Science,11748,23495,46990,37,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Geography and Environmental Planning M.A.,2,Maryland,Towson,Master,Geography and Environmental Planning M.A.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Agriculture & Environment,11430,22860,45720,36,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Gifted and Creative Education M.Ed.,2,Maryland,Towson,Master,Gifted and Creative Education M.Ed.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Education,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Global Humanities M.A.,2,Maryland,Towson,Master,Global Humanities M.A.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,11430,22860,45720,36,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Health Science M.S.,2,Maryland,Towson,Master,Health Science M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Health & Medicine,11430,22860,45720,36,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,"Homeland Security Management, Integrated M.S.",2,Maryland,Towson,Master,"Homeland Security Management, Integrated M.S.",Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Business & Management,11430,22860,45720,36,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Human Resource Development M.S.,2,Maryland,Towson,Master,Human Resource Development M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,11430,22860,45720,36,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,"Information Technology, Applied M.S.",2,Maryland,Towson,Master,"Information Technology, Applied M.S.",Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Computer Science & IT,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
